Year,Employee_id,Age,Gender,Department,Job_level,Salary,Total years of service,Years of service within company,Overtime Worked,Stock Option,Number of previous jobs,Marital Status,Years Under Current Manager,Job Satisfaction,Performance Rating, Upskilling Opportunities,Relationship with Manager,Churned
2018,1187,26,Male,Developers,Junior,55000,4,4,No,Yes,1,No,3,4,2,11,5,No
2018,1188,32,Male,Marketing,Assistant,66000,6,3,No,No,3,No,2,4,1,10,1,No
2018,1189,25,Female,Finance,Junior,58000,5,3,No,No,2,No,2,1,5,1,5,Yes
2018,1190,28,Female,Finance,Junior,58000,5,2,No,No,10,Yes,5,3,5,18,4,No
2018,1191,31,Female,Finance,Assistant,78000,10,5,Yes,Yes,8,No,5,5,3,9,4,No
2018,1192,35,Female,Finance,Senior,97000,15,1,No,Yes,2,Yes,4,1,4,3,5,Yes
2018,1193,30,Male,Sales,Assistant,75000,9,1,Yes,No,10,No,2,3,3,17,4,No
2018,1194,27,Male,Developers,Junior,58000,5,4,No,No,5,No,2,5,2,17,2,No
2018,1195,37,Male,Finance,Assistant,78000,10,4,No,No,4,Yes,1,5,5,3,3,No
2018,1196,36,Male,Finance,Senior,91000,13,1,No,No,4,Yes,2,4,4,9,3,No
2018,1197,31,Female,Sales,Assistant,66000,6,3,Yes,Yes,4,No,3,2,3,4,1,Yes
2018,1198,34,Male,Marketing,Senior,85000,11,4,No,No,9,No,2,3,3,11,2,No
2018,1199,25,Female,Finance,Junior,46000,1,3,No,Yes,5,No,2,4,2,18,1,No
2018,1200,30,Female,Developers,Assistant,78000,10,3,No,Yes,6,Yes,3,4,1,5,3,No
2018,1201,32,Male,Sales,Junior,58000,5,5,No,Yes,2,No,1,4,2,18,5,No
2018,1202,33,Male,Developers,Senior,94000,14,5,No,No,7,Yes,2,5,4,20,4,No
2018,1203,31,Female,Marketing,Assistant,66000,6,1,Yes,No,9,Yes,4,5,5,9,5,No
2018,1204,28,Female,Finance,Assistant,72000,8,1,Yes,Yes,5,Yes,2,3,3,19,4,No
2018,1205,22,Male,Finance,Junior,58000,5,5,Yes,Yes,10,No,3,4,5,6,3,No
2018,1206,27,Female,Developers,Junior,46000,1,3,No,Yes,7,Yes,4,3,3,8,4,No
2018,1207,32,Female,Developers,Assistant,75000,9,1,No,No,7,No,5,2,4,17,2,No
2018,1208,34,Male,Sales,Assistant,78000,10,2,No,Yes,10,Yes,3,1,2,18,4,Yes
2018,1209,23,Female,Sales,Junior,52000,3,3,No,Yes,1,Yes,1,4,5,16,1,No
2018,1210,26,Female,Developers,Junior,49000,2,2,No,No,1,Yes,4,4,5,17,2,No
2018,1211,32,Female,Finance,Assistant,78000,10,5,No,No,5,Yes,1,4,3,5,3,No
2018,1212,26,Male,Sales,Junior,52000,3,1,Yes,Yes,4,Yes,4,1,4,18,2,Yes
2018,1213,31,Female,Developers,Assistant,78000,10,2,Yes,Yes,10,No,4,3,5,16,2,No
2018,1214,22,Male,Sales,Junior,52000,3,4,Yes,No,6,Yes,3,4,2,11,2,No
2018,1215,32,Male,Sales,Assistant,75000,9,5,Yes,No,9,No,4,1,2,5,4,No
2018,1216,35,Male,Sales,Senior,85000,11,4,No,No,8,Yes,3,4,3,18,5,No
2018,1217,27,Male,Marketing,Junior,52000,3,3,Yes,No,10,No,4,5,3,14,5,No
2018,1218,31,Female,Finance,Assistant,78000,10,2,Yes,No,10,No,5,1,2,10,1,Yes
2018,1219,27,Male,Sales,Junior,58000,5,4,No,No,1,No,4,5,5,11,5,No
2018,1220,31,Female,Marketing,Assistant,66000,6,3,No,No,7,Yes,2,4,1,15,3,No
2018,1221,30,Male,Sales,Assistant,75000,9,5,No,No,1,Yes,1,3,2,13,3,No
2018,1222,37,Male,Sales,Senior,91000,13,4,No,No,5,No,3,5,2,20,5,No
2018,1223,32,Male,Sales,Assistant,75000,9,3,Yes,No,2,No,2,2,1,10,5,No
2018,1224,25,Female,Sales,Junior,46000,1,2,Yes,No,5,Yes,3,4,4,19,5,No
2018,1225,30,Female,Developers,Assistant,69000,7,1,No,No,5,No,2,5,3,7,4,No
2018,1226,29,Female,Sales,Assistant,72000,8,2,No,Yes,7,Yes,1,5,3,10,5,No
2018,1227,36,Male,Finance,Senior,85000,11,5,Yes,No,1,No,3,4,2,1,1,No
2018,1228,22,Female,Developers,Junior,58000,5,1,No,No,2,Yes,1,3,5,6,4,No
2018,1229,24,Male,Finance,Junior,46000,1,2,No,No,4,No,5,5,2,7,5,No
2018,1230,35,Male,Finance,Assistant,78000,10,2,No,No,6,Yes,3,3,4,18,2,No
2018,1231,36,Male,Developers,Senior,85000,11,5,Yes,No,1,No,1,5,5,13,3,No
2018,1232,32,Female,Finance,Assistant,66000,6,1,No,Yes,8,Yes,2,5,5,15,5,No
2018,1233,23,Female,Marketing,Junior,52000,3,2,Yes,Yes,1,No,3,5,1,5,1,No
2018,1234,24,Male,Developers,Junior,52000,3,2,Yes,Yes,8,Yes,5,3,3,15,1,No
2018,1235,37,Male,Developers,Senior,91000,13,1,Yes,No,5,No,4,1,3,3,1,Yes
2018,1236,37,Male,Developers,Senior,94000,14,5,Yes,No,4,Yes,5,3,2,10,3,No
2018,1237,27,Female,Marketing,Junior,49000,2,5,No,Yes,7,No,4,3,5,16,1,No
2018,1238,24,Male,Marketing,Junior,58000,5,1,Yes,No,7,Yes,4,5,4,1,1,No
2018,1239,34,Female,Finance,Senior,85000,11,4,Yes,Yes,6,Yes,5,3,3,1,3,No
2018,1240,25,Male,Sales,Junior,52000,3,5,Yes,No,4,No,3,3,4,10,3,No
2018,1241,34,Male,Developers,Assistant,78000,10,3,Yes,Yes,9,Yes,4,5,3,3,5,No
2018,1242,26,Male,Developers,Junior,55000,4,2,No,No,3,Yes,3,5,4,20,1,No
2018,1243,23,Male,Marketing,Junior,46000,1,4,No,Yes,3,No,5,3,1,19,5,No
2018,1244,29,Female,Marketing,Assistant,78000,10,3,Yes,Yes,7,Yes,4,1,1,3,2,Yes
2018,1245,32,Male,Finance,Junior,58000,5,2,Yes,No,3,Yes,5,4,3,12,3,No
2018,1246,29,Male,Finance,Assistant,75000,9,3,Yes,No,6,Yes,4,5,4,5,1,No
2018,1247,30,Female,Developers,Assistant,66000,6,1,No,Yes,8,No,1,2,1,11,1,Yes
2018,1248,35,Female,Finance,Senior,88000,12,1,No,No,9,Yes,5,5,5,19,3,No
2018,1249,32,Male,Finance,Assistant,75000,9,3,No,No,1,No,2,2,3,7,2,Yes
2018,1250,26,Female,Sales,Junior,52000,3,1,Yes,No,3,Yes,3,5,4,3,4,No
2018,1251,29,Female,Sales,Assistant,66000,6,3,No,No,10,Yes,5,5,3,5,2,No
2018,1252,22,Female,Marketing,Junior,55000,4,3,No,No,5,No,5,2,2,6,2,Yes
2018,1253,36,Female,Marketing,Senior,94000,14,4,No,No,5,Yes,3,5,4,9,4,No
2018,1254,29,Male,Sales,Assistant,69000,7,4,No,Yes,5,Yes,4,3,1,20,4,No
2018,1255,35,Female,Finance,Assistant,78000,10,3,No,No,4,Yes,3,5,2,3,2,No
2018,1256,36,Female,Developers,Senior,88000,12,3,No,No,4,Yes,1,1,3,12,1,Yes
2018,1257,37,Female,Finance,Senior,85000,11,3,No,No,10,Yes,3,5,3,2,4,No
2018,1258,34,Female,Finance,Senior,94000,14,4,No,Yes,8,Yes,2,1,4,8,3,No
2018,1259,24,Female,Finance,Junior,46000,1,3,No,Yes,9,Yes,5,5,4,16,4,No
2018,1260,33,Female,Developers,Assistant,78000,10,1,Yes,No,3,No,3,4,1,14,4,No
2018,1261,30,Male,Marketing,Assistant,75000,9,5,Yes,No,6,No,5,4,4,12,1,No
2018,1262,29,Male,Developers,Junior,58000,5,2,Yes,Yes,2,Yes,2,3,3,20,4,No
2018,1263,30,Male,Finance,Junior,58000,5,1,Yes,No,9,No,5,3,2,8,4,No
2018,1264,29,Female,Marketing,Assistant,69000,7,2,No,Yes,7,Yes,1,4,1,18,5,No
2018,1265,35,Male,Developers,Senior,88000,12,1,Yes,No,4,Yes,1,4,5,17,2,No
2018,1266,28,Female,Sales,Assistant,75000,9,3,Yes,No,2,Yes,1,4,2,5,1,No
2018,1267,30,Female,Finance,Assistant,78000,10,3,No,No,5,No,3,4,3,20,4,No
2018,1268,26,Female,Developers,Junior,55000,4,1,No,No,2,Yes,2,4,3,12,1,No
2018,1269,32,Male,Finance,Assistant,78000,10,2,Yes,No,6,No,5,4,4,7,2,No
2018,1270,36,Female,Sales,Senior,91000,13,3,No,No,5,Yes,1,2,5,15,3,No
2018,1271,31,Male,Developers,Assistant,66000,6,2,No,No,1,Yes,3,2,4,7,4,No
2018,1272,28,Female,Developers,Junior,58000,5,3,No,Yes,4,Yes,4,1,2,5,4,No
2018,1273,31,Male,Developers,Assistant,72000,8,1,Yes,No,9,No,5,1,3,20,1,No
2018,1274,32,Female,Sales,Assistant,75000,9,4,No,Yes,4,No,5,4,2,11,1,No
2018,1275,24,Male,Marketing,Junior,58000,5,4,No,No,1,No,3,2,5,5,2,No
2018,1276,36,Male,Developers,Assistant,78000,10,5,Yes,No,2,No,1,4,1,20,1,No
2018,1277,28,Female,Marketing,Junior,58000,5,1,Yes,No,10,No,3,3,1,5,4,No
